,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,150.0,-15.0,-128.0,-8.0,7.0,27.0,64.0,-56.0,-216.0,49.0,189.0,729.0,-512.0,448.0,1728.0,-392.0,-1512.0,-5832.0,343.0,1323.0,5103.0,19683.0
1,133.95767803154203,-21.338081054514305,-113.62972306727377,-6.58102262940584,6.814745173748364,25.793149074450582,43.30985884875176,-44.84799220207222,-169.7452977425976,46.44075178312663,175.7737381708842,665.286539176831,-285.0231611600081,295.14565156525396,1117.0976456792669,-305.6276384113759,-1156.770948557846,-4378.265769361819,316.48188907930796,1197.8532338717418,4533.7582320150605,17159.83488221331
2,119.02538214449784,-24.016203173967384,-100.94018208945505,-5.3171301992051205,6.585408015244664,24.721766346566326,28.271873555299084,-35.01547183194486,-131.44885041902066,43.36759872724867,162.8029182496837,611.1657312942194,-150.3252326689894,186.18182271705027,698.9306522137714,-230.59116885966344,-865.6443131441156,-3249.647766583776,285.5933322603377,1072.1236427466888,4024.775705507819,15109.096408084031
3,105.39216307599516,-24.099162213250338,-89.99916498493963,-4.196172862676278,6.343043444923238,23.76849683046603,17.607866693460828,-26.61650677036354,-99.73672138660868,40.23420014418365,150.7646080161663,564.9414415798738,-73.88565238872181,111.68746340903891,418.5125236947921,-168.82965879650942,-632.6343568094634,-2370.591946158682,255.2072794862937,956.3064586033651,3583.4481077787023,13427.80886359014
4,93.14013447643876,-22.400819646179123,-80.68868006381003,-3.2046747530785193,6.109338694565358,22.916338721749028,10.26994027301887,-19.578443472479282,-73.43941213458479,37.324019284913554,140.00367489054779,525.1585804099338,-32.91181830856789,62.7425435008293,235.34942994863212,-119.61134228577824,-448.6662422599515,-1682.9624440022708,228.02507525402604,855.3298683901719,3208.3716360814224,12034.711911306918
5,82.27678674511185,-19.522119668668278,-72.80366384969582,-2.3287358651212466,5.898942809389939,22.149969061188894,5.423010729502001,-13.737079686525437,-51.581427364116564,34.79752626845327,130.66140072170984,490.62112941162525,-12.628759582728645,31.990030148040315,120.11951987696473,-81.03424743884582,-304.27589004762484,-1142.527020247144,205.26861736584993,770.7641302521478,2894.1459834774773,10867.242837233052
6,72.76024676929869,-15.894532964376848,-66.11149379008299,-1.5546463595161295,5.721378317413739,21.456290181562952,2.416925303156755,-8.894719972581788,-33.356943419488516,32.73416985097207,122.75955341693158,460.37238835543474,-3.7574641237750663,13.828144024289685,51.85825065169334,-50.89005799059637,-190.84769281545852,-715.7162575785223,187.28456962389015,702.3538471750261,2633.9646006727617,9877.8835561334
7,64.51812327542707,-11.820037251791558,-60.384850783036136,-0.8692810569930582,5.582531270549649,20.824523287303478,0.7556495560469686,-4.852788683560199,-18.102363614563725,31.164655386664677,116.25355244566103,433.66077014344484,-0.656871844796844,4.218437276209162,15.736041776940633,-27.090844575344274,-101.05701094916215,-376.9730926467175,173.97766323195913,648.9890918403863,2420.924810136424,9030.778806642127
8,57.461066202499886,-7.504377986730704,-55.417633365865385,-0.26033287452193854,5.48577374572805,20.246064794123633,0.0677732055568554,-1.4281272482023653,-5.270716245611625,30.09371358931916,111.0653307019124,409.9031396478524,-0.017643593418182384,0.37178847170762774,1.3721407110095543,-7.834382963747382,-28.91395680135857,-106.71126262009302,165.0873039197465,609.2792752251546,2248.6358817716873,8298.925524625129
9,51.4922210712118,-3.0832153045187307,-51.030740535925915,0.28356775080254304,5.432789857923724,19.71423920119508,0.08041066929521315,1.5405640005942978,5.590322469066212,29.515205640358875,107.10331878893493,388.6512272819369,0.0228018726325707,0.4368542686158926,1.5852351688140247,8.369560477911099,30.371047212466028,110.20895436698679,160.34990985747478,581.8698240664971,2111.460445846915,7661.963260474139
10,46.51360454461563,1.3580061242452688,-47.072200966924804,0.772811957750078,5.424172412211641,19.22402485049252,0.5972383220415084,4.191865301055242,14.856556280545275,29.421646357397854,104.27442524571255,369.5631314523539,0.46155291690026967,3.239523629933122,11.481324344592412,22.73740012169109,80.58452271740327,285.6028071299431,159.58808249364458,565.6024607170191,2004.5741421944026,7104.490822865885
11,42.430239769395115,5.769248507571657,-43.41444957985124,1.2168233866862364,5.459847363625748,18.77179482736809,1.480659154386562,6.643669959797002,22.841958956017212,29.80993323409103,102.49113449872912,352.38028104080337,1.8017006867686352,8.0841729805058,27.794629855408875,36.27342391479724,124.71360938605812,428.7845669775181,162.75768537801147,559.5859504878981,1923.9425484343305,6614.810336908266
12,39.15268416871831,10.124944085247595,-39.950409263434885,1.6241020069483696,5.5393704238202,18.35509195724689,2.637707328973722,8.996502622556827,29.810541685486555,30.684624692293983,101.67565351447347,336.90940075898953,4.283905766728645,14.611237964810813,48.415360579616745,49.834960545212155,165.13163293064338,547.1752339324474,169.9735024865163,563.2191079006647,1866.2659700713336,6184.003032192199
13,36.59842151707464,14.415916003544577,-36.58931046188933,2.002287206652187,5.662129358359651,17.972444864453482,4.009154057923017,11.337209176653284,35.985996424357005,32.05970887079827,101.7623077085222,323.00877440582036,8.027477879676958,22.700348893552643,72.05430025912136,64.192744920993,203.7573668441772,646.7563366291764,181.5262188178102,576.1913500508521,1828.917464570965,5805.2573887433
14,34.6924573359002,18.643351940834116,-33.25273369670397,2.3582305888151756,5.827476322405196,17.623224980923528,5.5612515100235695,13.742532919092099,41.559628223585605,33.959480288193184,102.69892630075161,310.5780587282471,13.114713423032166,32.408061497602496,98.00718653664606,80.08428519588317,242.18774944090782,732.4146783077883,197.89806730063177,598.4755613540663,1809.88628349743,5473.387003106378
