,0,1,2,3,4
0,-82.5,5.0,25.0,125.0,625.0
1,-48.74785095818831,4.369041697300507,19.088525352750498,83.3985632061448,364.3718001425985
2,-33.29155715893272,3.967214078342725,15.738787543400717,62.43913951822444,247.70943333630558
3,-24.65753640616042,3.6811329316767543,13.550739660675095,49.88207401348938,183.622545351393
4,-19.237194571425004,3.4635518225236916,11.996191227307186,41.549429988682526,143.9086039621219
5,-15.561214531082648,3.2906504424104432,10.828380334136046,35.63241453711332,117.25382066070425
6,-12.927360684643748,3.148887212543723,9.915490677321376,31.222761799913776,98.31695537204712
7,-10.960877600269129,3.029895089325001,9.180264252315755,27.815237576797358,84.27725174234655
8,-9.444911760237863,2.928176710310092,8.574218846802433,25.10682793630874,73.51722883286205
9,-8.24593896687116,2.839945224177302,8.065288876327468,22.904978625936515,65.0488846586116
10,-7.277594150675361,2.762492179352098,7.631363040981504,21.08158071850805,58.23770186325847
11,-6.481733991592192,2.693820274254536,7.256667669984784,19.548158492932437,52.659225672602396
12,-5.81789229301231,2.6324186712356585,6.92962806067011,18.241682291626542,48.01974505922659
13,-5.25710568475224,2.5771197352309003,6.641546129716586,17.116059603339018,44.11013499315336
14,-4.778141567702063,2.5270043769412625,6.385751121080298,16.136821033027488,40.77781738037829
15,-4.36510850686585,2.4813375315614152,6.157035945535298,15.277684374829459,37.90909163461373
16,-4.005895413119076,2.439523095735822,5.951272934628488,14.518267773053697,35.41764954244157
17,-3.691123782678282,2.4010716988086838,5.765145302820018,13.842527226120964,33.23690036262772
18,-3.4134274325035148,2.3655771876334724,5.595955430651888,13.23766450976375,31.31471718184236
19,-3.166947141609374,2.3326992044566888,5.441485578472869,12.693349079966206,29.60976530072821
20,-2.946968710976447,2.30214998994084,5.2998945761846095,12.201152245250912,28.088882518671042
21,-2.7496599906007826,2.273684331743752,5.169640440417031,11.754130470125073,26.7251822831952
22,-2.571876502600547,2.2470917605009437,5.04942138011123,11.34651317854525,25.496656273924405
23,-2.4110158792056797,2.2221904353508335,4.938130330964727,10.973465989985662,24.385131165593805
24,-2.26490743188807,2.1988222960508583,4.834819489610369,10.63090889113651,23.375479497116267
25,-2.1317275585605664,2.176849208010774,4.738672474417135,10.315375422957397,22.455016819798615
26,-2.009933866826369,2.156149806152805,4.648981986572779,10.02390160915678,21.613033511478182
27,-1.8982138227653642,2.136616965071307,4.565132055430523,9.753938597423701,20.84043068351931
28,-1.7954440660062816,2.118155707503547,4.486583601229852,9.50328266213683,20.129432410824627
29,-1.7006580157220916,2.100681482015781,4.412862688884018,9.270018933217022,19.473357110944683
30,-1.6130198446716313,2.084118730050957,4.3435508809492145,9.052475745915594,18.866434255394697
31,-1.53180341386616,2.068399685795469,4.278277260198796,8.849187340741091,18.303656315134116
32,-1.4563751139015575,2.053463366772539,4.21671179867681,8.65886320682037,17.78065839310022
33,-1.3861798753252603,2.039254735966031,4.1585598781598865,8.48036292633587,17.29362026024117
34,-1.3207294489234969,2.025723953189656,4.103557534526327,8.312674790981868,16.839184439167784
35,-1.2595928426057776,2.0128257671662824,4.051467568968533,8.1548983176584,16.414389462403793
36,-1.2023883160122584,2.000518988307946,4.002076222580649,8.006229475928325,16.016614091345392
37,-1.1487766271634903,1.9887660250937282,3.955190302567108,7.865948096525647,15.643530329520889
38,-1.0984553709286458,1.9775324882835321,3.910634742216858,7.733407252544133,15.293064087033512
39,-1.051154204966821,1.9667868507220154,3.868250516173023,7.608024250507751,14.963362055872862
40,-1.0066307703405197,1.9565001456406805,3.827892819892004,7.489272859615621,14.652763440580758
41,-0.9646672132337717,1.9466457030256534,3.7894294931082406,7.376676639677837,14.359775883238576
42,-0.9250672092707002,1.9371989188867995,3.752739651336185,7.2698031954320825,14.08305489071083
43,-0.8876534565473047,1.9281370644755902,3.717712539404546,7.168259342291574,13.8213865256458
44,-0.852265406896973,1.9194390922712257,3.684246428938987,7.071686621266154,13.573671749149677
45,-0.8187573927431091,1.9110854859140312,3.6522477344712687,6.979757636310444,13.338913513950514
46,-0.7869969552049851,1.9030581158656468,3.6216301923621055,6.8921727302387685,13.11620525022878
47,-0.7568634275115356,1.8953401208702498,3.592314173780453,6.808657180336955,12.90472112314394
48,-0.7282466463686499,1.887915789138223,3.564226026877399,6.7289585921992385,12.703707170670251
49,-0.7010458772413237,1.88077046594557,3.537297545573116,6.65284475297567,12.512473925917591
50,-0.6751688199856094,1.8738904576754756,3.511465447367203,6.580101594278547,12.330389588053754
51,-0.6505307808607683,1.8672629581473974,3.486670954869369,6.510531521275989,12.156874347529678
52,-0.6270538971720474,1.860875970441519,3.462859377366665,6.443951804359707,11.991395067416247
53,-0.6046664928701408,1.8547182476165007,3.4399797780416232,6.380193265765558,11.833460873335294
54,-0.583302468293371,1.8487792285580047,3.4179846359475308,6.319098998470189,11.682618971573376
55,-0.5629007911830781,1.8430489890922874,3.3968295761941025,6.260523316523324,11.538451169707008
56,-0.5434050102738079,1.8375181884012415,3.3764730927053805,6.204330720493528,11.400570545763436
57,-0.5247628770971076,1.8321780362181792,3.3568763564003037,6.1503951304967455,11.26861887215938
58,-0.5069259364573138,1.8270202426894138,3.3380029671968843,6.0985989912260345,11.142263809015203
59,-0.48984918507661823,1.8220369797773388,3.3198187556761267,6.048832539000293,11.021196570538986
60,-0.47349081591023245,1.8172208609439693,3.302291657449941,6.000993288839269,10.905130190863478
61,-0.4578118989561848,1.812564896408796,3.285391503693429,5.954985310554418,10.79379733254097
62,-0.44277617332337793,1.8080624756210317,3.2690899157488538,5.9107188060966225,10.686948877250849
