,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1874,0.24932509163815242,4.429580879409494,0.6271133079980072,27.802139655309105,19.62118676723019,2.77784911833121,123.15182622382967,0.3932711010682035,17.43509176866347,772.9589694133111,86.91363373544543,12.30470734044445,545.5109747054366,1.742026149716033,77.23014912922157,3423.884271481271,0.24662554113089974,10.933778074295375,484.732856255512,21489.913215452674,384.99097015452907,54.50469636196238,2416.3849830632385,7.7164457242134805,342.09719189674365,15166.372302264343,1.0924477813674534,48.43205429760555,2147.1633916909673,95191.30867933856,0.15466215893539714,6.856717737087455,303.9824249817167,13476.610565132618,597465.568396488
1875,3.02941611965532,4.068324823405171,0.6439983343787749,27.09706952775726,16.551266868734718,2.6199944099847534,110.2396806013107,0.4147338546826363,17.45046764242153,734.251176992111,67.33592986087703,10.65898829532376,448.49082911456986,1.6872720361118823,70.99417068969223,2987.172289971469,0.2670879116261066,11.238072095850171,472.8565349985745,19896.055193792832,273.9444349600755,43.364226674250816,1824.606373156371,6.864370708351357,288.8273469339387,12152.787179079,1.0866003808999363,45.72012767476423,1923.7339792440569,80943.61523274677,0.17200417021991807,7.237299711356098,304.51882093920085,12813.026405510756,539124.7909143004
1876,5.269201049781501,3.7443066946954504,0.6859013188450508,26.409558069304758,14.019832623941168,2.5682249000519626,98.88548508284606,0.47046061919338,18.114350709851088,697.4647574159801,52.4945531523326,9.616221686748116,370.25758380390755,1.76154884603634,67.82568463295671,2611.5219605067923,0.32268955916939857,12.424657041908642,478.39199695956415,18419.73601227088,196.5557068033251,36.006083239366546,1386.357949798733,6.595779137246911,253.9601650434821,9778.339160069769,1.208248676706303,46.521726541313505,1791.2463569044216,68969.14086526874,0.22133319421181852,8.522088651242585,328.12970163948256,12634.121223594275,486457.0878373319
1877,7.06296040586516,3.4561178527445313,0.7478965355933379,25.73999114779728,11.94475061205947,2.5848185686699208,88.96044293538839,0.559349227952517,19.25085020564077,662.5471442886824,41.282465836919904,8.93343760128568,307.4577750170569,1.9331768526455642,66.53320707622579,2289.8410136610223,0.4183353497724957,14.397644176025029,495.5167138807649,17053.95762898905,142.67706718429508,30.875013180182723,1062.610305201562,6.681287032940819,229.9466047764928,7913.9604072604925,1.4458162707828501,49.75995507422343,1712.5641611766152,58940.48742149786,0.3128715588110768,10.767948199954718,370.59523364001933,12754.595828876485,438968.71840508806
1878,8.497030850546034,3.202059341299606,0.825962596753666,25.088438266257796,10.253184025204067,2.644781248499156,80.33466810908926,0.6822142112360591,20.72211161889233,629.4297346398286,32.83130368596858,8.468746502450758,257.23637444891284,2.1844903878557655,66.35343108072729,2015.471361495195,0.5634834214547894,17.115689122959623,519.8854180970836,15791.409040458366,105.12778265469987,27.117428847270812,823.6861357261847,6.994867852412755,212.46762381932245,6453.658900197524,1.804307353336771,54.805452238952924,1664.7039594232178,50565.02883028275,0.4654162300124382,14.136919033228207,429.40590994583255,13043.113217456306,396181.790848765
1879,9.6487806191958,2.9802515274552017,0.9168971302468067,24.45476978969473,8.881899166899062,2.7325840729373367,72.88136501930305,0.8407003474548297,22.422508241017404,598.035765466966,26.470293558854014,8.143787857271255,217.204799421798,2.505498494634375,66.82471443466896,1782.2970035057665,0.7708357359788267,20.559133459124233,548.3372771416135,14624.826970498523,78.88813281096226,24.270536200903777,647.3249352474141,7.467015715670804,199.15445726567984,5311.6933670768885,2.297284379567953,61.271388894710334,1634.18300776192,43585.66291759626,0.7067770742106714,18.850610469032116,502.7688758184934,13409.461879606197,357646.77677766
1880,10.586377857137817,2.788724829469174,1.0182253733668247,23.83874209894221,7.776986174497874,2.8395503807035842,66.47969199463223,1.0367829109680096,24.273212074290875,568.2856248598796,21.687874443260707,7.918724651196731,185.393567720894,2.8913022465858162,67.69130920254591,1584.7922322771508,1.055678666620745,24.715600427156943,578.6428425519503,13547.21444957089,60.48151395833107,22.08314405252195,517.0116455271318,8.063046364553871,188.772434712415,4419.549447701169,2.943997309546182,68.92500858645148,1613.6756624192453,37779.45330566191,1.0749188044752997,25.16605147292713,589.1888244035002,13794.117490994764,322948.5514223838
1881,11.369086118559922,2.6254931049322474,1.1281093239826192,23.240057793690134,6.893214044046773,2.9618432517261457,61.01661149556038,1.272630646856522,26.21732588695678,540.1002862540576,18.098085943466934,7.776299035297102,160.1986927679235,3.341282988447265,68.83340834596675,1418.0295775319612,1.4356664987048744,29.576009782966832,609.292168808884,12551.961866932883,47.516399857043666,20.416619499063827,420.6005632813426,8.772515447795708,180.72163900132148,3723.0268784001514,3.76933249333187,77.65160975658813,1599.69238809694,32955.089335004785,1.6195887633184498,33.36497240236604,687.3481766628939,14159.985216361269,291708.3192117149
1882,12.047888587843095,2.488611593619076,1.2452615843844046,22.658407038562466,6.193187663895276,3.0989724159874883,56.38797444910662,1.5506764135435576,28.215643848467042,513.403409525177,15.412438621828423,7.7121386827321805,140.32776695474294,3.8590313006961456,70.21777840272183,1277.661677147918,1.9309977675967767,35.13585736316814,639.3215431736774,11632.90342800724,38.355573440224624,19.192517737445453,349.22130775024914,9.60363003505133,174.7447774111887,3179.603662473101,4.805503431693892,87.43950198572641,1591.0230043924519,28949.77833838991,2.4045973395203104,43.75333340876321,796.1225577835359,14486.007753751068,263583.0609120767
1883,12.666296850076119,2.3762215097109243,1.3688665179413748,22.09349536200229,5.646428663212864,3.2527300638553895,52.49903890388838,1.8737955439409442,30.24304606533799,488.1225373108167,13.41716524257471,7.729207143016565,124.7493454825702,4.452553276312953,71.86417657963446,1159.8872725326357,2.5649759815685047,41.398693159399805,668.1745979773665,10784.333014165319,31.882156648751817,18.366308266247284,296.4320780580427,10.580252868308687,170.76520216619147,2756.149085831986,6.094951099294972,98.37246515928832,1587.7308519562675,25625.964076145276,3.5111097404929392,56.66928495243103,914.6418353101556,14762.312381420692,238263.61143074965
